close,color,current_close,high,low,open,prev_close,symbol,timestamp,volume
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:02,0.0203
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:03,0.02948
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:05,0.04098
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:06,0.06394
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:07,0.08755
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:09,0.09223
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:10,0.09239
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:11,0.16813
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:13,0.28396
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:14,0.29421
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:15,0.29551
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:17,0.29572
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:18,0.30046
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:19,0.3012
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:20,0.32464
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:22,0.32733
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:23,0.35249
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:24,0.35361
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:25,0.35471
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:27,0.35581
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:28,0.35631
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:29,0.35782
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:31,0.37893
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:32,0.37893
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:33,0.37893
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:34,0.38281
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:36,0.38336
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:37,0.4102
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:38,0.4102
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:40,0.45097
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:41,0.4513
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:42,0.45543
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:43,0.47322
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:45,0.47706
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:46,0.47706
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:47,0.47771
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:49,0.48463
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:50,0.48557
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:51,0.49421
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:52,0.49794
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:54,0.54648
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:55,0.54789
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:56,0.56014
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:58,0.56371
116919.48,green,116919.48,116919.48,116919.47,116919.48,116919.47,BTCUSDT,2025-09-19 11:19:59,0.56524
116919.48,red,116919.48,116919.48,116919.48,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:00,0.0
116919.48,red,116919.48,116919.48,116919.48,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:01,0.0
116919.48,red,116919.48,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:03,0.00353
116919.48,red,116919.48,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:04,0.00695
116919.48,red,116919.48,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:05,0.00724
116919.48,red,116919.48,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:07,0.02088
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:08,0.02413
116919.47,red,116919.47,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:09,0.02574
116919.48,red,116919.48,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:10,0.02663
116919.48,red,116919.48,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:12,0.02831
116919.48,red,116919.48,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:13,0.07216
116919.48,red,116919.48,116919.48,116919.47,116919.48,116919.48,BTCUSDT,2025-09-19 11:20:14,0.07344
